iter	Passed	Remaining
399	50053	100106
400	50172	99970
401	50314	99878
402	50456	99785
403	50592	99682
404	50732	99585
405	50886	99516
406	51034	99435
407	51148	99289
408	51269	99155
409	51412	99063
410	51534	98931
411	51677	98839
412	51809	98725
413	51940	98611
414	52071	98496
415	52199	98375
416	52350	98298
417	52463	98149
418	52588	98023
419	52729	97925
420	52864	97818
421	52979	97672
422	53119	97574
423	53237	97434
424	53358	97300
425	53496	97198
426	53630	97088
427	53764	96976
428	53896	96862
429	54031	96754
430	54178	96666
431	54289	96514
432	54392	96349
433	54551	96281
434	54674	96151
435	54829	96076
436	54961	95963
437	55077	95819
438	55223	95729
439	55339	95586
440	55455	95444
441	55578	95313
442	55717	95210
443	55836	95072
444	55985	94985
445	56102	94846
446	56241	94741
447	56354	94595
448	56492	94490
449	56635	94393
450	56764	94271
451	56912	94182
452	57029	94042
453	57156	93917
454	57289	93803
455	57406	93663
456	57530	93533
457	57673	93435
458	57796	93306
459	57938	93204
460	58078	93101
461	58235	93025
462	58373	92919
463	58519	92823
464	58648	92702
465	58794	92607
466	58945	92519
467	59101	92440
468	59238	92330
469	59386	92239
470	59532	92142
471	59658	92016
472	59786	91892
473	59925	91785
474	60070	91686
475	60214	91587
476	60359	91487
477	60494	91374
478	60631	91264
479	60776	91164
480	60918	91060
481	61000	90867
482	61137	90756
483	61258	90621
484	61408	90529
485	61553	90430
486	61660	90275
487	61795	90160
488	61921	90033
489	62040	89895
490	62159	89758
491	62304	89657
492	62414	89507
493	62539	89378
494	62666	89251
495	62812	89153
496	62939	89026
497	63087	88930
498	63216	88807
499	63329	88660
500	63448	88524
501	63572	88393
502	63686	88249
503	63802	88107
504	63930	87983
505	64058	87859
506	64206	87761
507	64327	87627
508	64455	87501
509	64603	87404
510	64746	87300
511	64882	87185
512	65016	87069
513	65163	86968
514	65312	86871
515	65455	86766
516	65601	86664
517	65747	86563
518	65874	86436
519	66024	86339
520	66142	86200
521	66289	86100
522	66435	85997
523	66559	85866
524	66680	85732
525	66826	85629
526	66958	85508
527	67080	85375
528	67215	85257
529	67341	85129
530	67477	85014
531	67607	84891
532	67742	84773
533	67886	84667
534	68017	84544
535	68155	84431
536	68282	84304
537	68426	84197
538	68582	84105
539	68712	83981
540	68847	83864
541	68991	83757
542	69130	83643
543	69192	83438
544	69333	83326
545	69466	83206
546	69584	83068
547	69739	82975
548	69875	82857
549	70015	82745
550	70163	82642
551	70299	82525
552	70434	82406
553	70566	82284
554	70702	82168
555	70839	82051
556	70985	81945
557	71137	81846
558	71269	81724
559	71412	81614
560	71534	81480
561	71669	81361
562	71791	81227
563	71909	81089
564	72031	80955
565	72172	80843
566	72300	80716
567	72453	80617
568	72591	80501
569	72721	80376
570	72854	80254
571	73000	80147
572	73132	80024
573	73253	79889
574	73384	79766
575	73501	79626
576	73641	79512
577	73772	79388
578	73907	79268
579	74037	79143
580	74154	79004
581	74291	78886
582	74412	78752
583	74526	78609
